src,dest,ret_count,tot_count
KS,NC,1071,1474
AL,MN,622,827
WY,AR,39,46
OH,SC,5473,7336
ME,OH,406,542
TX,MI,4765,6643
NY,KY,1767,2322
OK,TN,1747,2340
NY,NM,460,603
NV,AZ,3577,5220
WI,NH,223,268
RI,AR,45,59
AR,GA,1958,2698
VA,VA,77644,112578
ME,ND,16,22
CO,MD,1842,2396
IN,VT,138,162
RI,NM,17,19
OK,VT,43,51
NM,TX,6051,8721
WY,KY,35,46
NC,SC,37774,54597
WI,MO,3256,4270
NY,WY,199,280
NV,WA,1372,1939
WY,IA,99,126
MD,NV,962,1329
WA,IL,3291,4251
WA,MA,1482,1896
NY,IA,673,880
NH,IL,855,1116
OR,TX,2521,3494
AR,MS,3225,4492
GA,GA,75208,114030
KS,RI,98,124
WA,NJ,1153,1501
TN,AZ,2176,2938
VT,KS,31,41
CO,IL,5848,7678
MA,OR,606,759
MI,NV,1328,1819
AZ,IN,1006,1302
MA,WY,81,105
KS,IA,2767,3874
VT,DE,40,43
IN,KY,10614,14801
NH,CT,2204,3034
GA,TX,15807,22684
SC,MD,2252,3102
AZ,DC,705,883
FL,MD,6475,8669
DE,KY,147,198
IA,MO,5262,7030
ME,AZ,226,319
LA,OK,1077,1485
PA,DE,3241,4368
SC,DE,237,298
NV,VA,702,957
KY,DC,531,655
MN,MO,3785,5035
CT,IL,2105,2653
OH,WY,280,370
MS,PA,548,753
GA,TN,22077,30951
LA,AZ,646,864
IN,NM,305,380
ID,OK,177,219
OH,OR,1134,1495
NV,PA,592,801
NM,NY,437,649
NV,WI,282,367
LA,ID,80,94
DC,IN,190,247
DC,SC,409,528
WV,AR,85,113
DE,ME,97,128
AR,MN,576,767
IL,NM,744,1013
GA,MS,5148,7145
CO,AZ,7329,10136
MO,IN,4648,6443
AR,CA,2055,3099
CA,ND,348,459
TN,OK,1299,1761
TX,ID,1278,1713
KS,VA,1096,1546
NE,MI,423,595
WI,WV,200,252
TN,ID,306,388
ME,SC,305,390
DE,UT,97,123
NC,LA,3363,4616
CA,DE,446,534
IN,AR,934,1218
CT,MA,9089,12552
AR,TX,9930,14358
WA,SD,326,406
MI,SC,2429,3292
SC,NH,271,340
AR,KS,1786,2381
NH,NC,885,1156
NH,NE,80,103
AZ,UT,3898,5304
ND,SC,67,90
FL,NH,963,1259
MD,WV,1532,1914
NJ,MD,9129,12353
CA,MD,4177,5250
WV,WA,111,145
MA,MN,1301,1608
CO,NC,2584,3466
SD,MO,508,682
ME,IL,442,591
NV,RI,53,64
CO,SD,1273,1680
MS,VA,912,1194
SC,MT,132,197
WY,NV,229,304
MA,MS,227,312
KY,WA,556,761
NH,NY,3952,5729
SD,WV,10,13
AR,NY,1134,1561
KY,WI,957,1269
